REF,TYPE,AGE,CAPACITY,MINIMUM OUTPUT,MAXIMUM OUTPUT,MAX RAMP UP,MAX RAMP DOWN,INITIAL STATUS,PRIOR STATUS UP,PRIOR STATUS DOWN,PRIOR UP TIME,PRIOR DOWN TIME,MIN UP TIME,MIN DOWN TIME,STORAGE CAPACITY,MAX STORAGE HOURS,BATT EFFICIENCY,OP TYPE
0,Biomass,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,THERMAL
1,CCGT,,,0.3,1,1,1,1,1,0,8,0,6,12,0,0,0,THERMAL
2,Coal,,,0.5,1,0.3,0.3,1,1,0,8,0,24,12,0,0,0,THERMAL
3,Diesel,,,0.25,1,1,1,1,1,0,8,0,0,0,0,0,0,THERMAL
4,Gas,,,0.25,1,1,1,0,0,0,8,0,0,0,0,0,0,THERMAL
5,Hydro,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,THERMAL
6,Light oil,,,0.25,1,1,1,0,0,0,8,0,0,0,0,0,0,THERMAL
7,Nuclear,,,0.8,1,0.1,0.1,1,1,0,360,0,48,24,0,0,0,THERMAL
8,OCGT,,,0.25,1,1,1,1,1,0,8,0,0,0,0,0,0,THERMAL
9,Pumped hydro,,,0,1,1,1,0,0,0,0,0,0,0,0,0,0,STORAGE
10,Battery,,,0,1,1,1,0,0,0,0,0,0,0,0,0,0,STORAGE
